Provider,Model,Input ($/1M tokens),Output ($/1M tokens),Context Length,Self-Host Option,Est. Monthly Cost (1M tokens/day),Notes
DeepSeek,V3.2 (cached),$0.028,$0.42,128K,Yes (MIT),~$13.44,Best value with caching
DeepSeek,V3.2 (no cache),$0.28,$0.42,128K,Yes (MIT),~$21.00,Still very affordable
DeepSeek,R1,$0.55,$2.19,128K,Yes (MIT),~$82.20,Premium reasoning
Alibaba,Qwen 2.5 Max,$0.38,$1.50,128K,Yes (Apache),~$56.40,Great value flagship
Mistral,Ministral 8B,$0.10,$0.30,128K,Yes (Apache),~$12.00,Best budget option
Mistral,Large 3,$2.00,$6.00,128K,Yes (Apache),~$240.00,Frontier open model
Google,Gemini 2.5 Flash,$0.15,$0.60,1M,No,~$22.50,Fast + cheap
Google,Gemini 3 Pro,$1.25,$10.00,2M,No,~$337.50,Best multimodal
Anthropic,Claude Haiku 4.5,$1.00,$5.00,200K,No,~$180.00,Fast Claude
Anthropic,Claude Sonnet 4.5,$3.00,$15.00,200K,No,~$540.00,Balanced Claude
Anthropic,Claude Opus 4.5,$15.00,$75.00,200K,No,"~$2,700.00",Premium tier
OpenAI,GPT-4o mini,$0.60,$2.40,128K,No,~$90.00,Budget GPT
OpenAI,GPT-4o,$5.00,$15.00,128K,No,~$600.00,Flagship multimodal
OpenAI,GPT-4.1,$3.00,$12.00,1M,No,~$450.00,Long context
OpenAI,GPT-5,$10.00,$30.00,128K+,No,"~$1,200.00",Frontier model
xAI,Grok 4.1,$3.00,$15.00,131K,No,~$540.00,X integration
Meta,Llama 4,Self-host,Self-host,128K,Yes (Free <700M),Infra only,Most popular open
Groq Cloud,Various open models,$0.60-$4.00,$0.60-$4.00,Varies,No (inference),~$18-120,Ultra-fast inference
