Provider,Model Name,Type,Parameters,Architecture,Context Window,License,API Pricing (Input/1M tokens),API Pricing (Output/1M tokens),Self-Host Cost,Primary Use Cases,Strengths,EA/Architecture Suitability
OpenAI,GPT-5,Commercial,Unknown (Large),Dense Transformer,128K+,Proprietary,$10.00,$30.00,N/A - API Only,"General purpose, reasoning, coding, multimodal","Best overall reasoning, multimodal",★★★★★
OpenAI,GPT-4.1,Commercial,Unknown,Dense Transformer,1M,Proprietary,$3.00,$12.00,N/A - API Only,"Long context, documents, code","Extended context, balanced cost",★★★★★
OpenAI,GPT-4o,Commercial,Unknown,Dense Transformer,128K,Proprietary,$5.00,$15.00,N/A - API Only,"Multimodal, vision, audio",Vision + audio native,★★★★☆
OpenAI,o3 / o4-mini,Commercial,Unknown,Reasoning Transformer,128K,Proprietary,$2.50-$5.00,$10.00-$20.00,N/A - API Only,"Step-by-step reasoning, math, code",Chain-of-thought reasoning,★★★★★
OpenAI,GPT-OSS-120B,Open-Weight,120B (5.1B active),MoE,128K,Apache 2.0,Self-host,Self-host,$0.60-$4/M via Groq,"Reasoning, tool use, on-prem",First open-weight from OpenAI,★★★★☆
Anthropic,Claude Opus 4.5,Commercial,Unknown (Large),Dense Transformer,200K,Proprietary,$15.00,$75.00,N/A - API Only,"Long tasks, agentic workflows, coding",Best instruction following,★★★★★
Anthropic,Claude Sonnet 4.5,Commercial,Unknown,Dense Transformer,200K,Proprietary,$3.00,$15.00,N/A - API Only,"Balanced performance, coding",Cost-effective flagship,★★★★★
Anthropic,Claude Haiku 4.5,Commercial,Unknown (Small),Dense Transformer,200K,Proprietary,$1.00,$5.00,N/A - API Only,"Fast responses, high volume",Speed + low cost,★★★☆☆
Google,Gemini 3 Pro,Commercial,Unknown (Large),Dense + MoE,2M,Proprietary,$1.25-$2.50,$10.00-$15.00,N/A - API Only,"Multimodal, long context, Deep Think","Massive context, reasoning",★★★★★
Google,Gemini 2.5 Flash,Commercial,Unknown,Dense Transformer,1M,Proprietary,$0.15,$0.60-$3.50,N/A - API Only,"Real-time, low latency","Speed, cost efficiency",★★★☆☆
Google,Gemma 2,Open-Weight,2B-27B,Dense Transformer,8K,Gemma Terms,Self-host,Self-host,Free locally,"Edge, mobile, fine-tuning","Lightweight, tunable",★★☆☆☆
xAI,Grok 4.1,Commercial,Unknown,Dense Transformer,131K,Proprietary,$3.00-$5.00,$15.00-$25.00,N/A - API Only,"Real-time X data, OSINT, reasoning",Social media integration,★★★☆☆
xAI,Grok 4 Heavy,Commercial,Unknown (Very Large),Dense Transformer,428K,Proprietary,Premium tier,Premium tier,N/A - API Only,"Extended research, deep analysis",Longest thinking mode,★★★★☆
Cohere,Command R+,Commercial,104B,Dense Transformer,128K,CC-BY-NC (research),$3.00,$15.00,Enterprise pricing,"Enterprise RAG, tool use",RAG optimization,★★★★☆
Cohere,Command A,Commercial,Unknown,Dense Transformer,128K,Proprietary,$1.00,$5.00,Enterprise pricing,"Vision, reasoning, translation",Enterprise-focused,★★★★☆
