Story ID,Epic ID,Title,Description,Acceptance Criteria,Story Points,Status,Priority,Feature,Value,Requirement,Assignee,Product Manager,Tech Lead,Labels,Created At,Updated At
UAW-001,EPIC-UAW,Create Unified Objects Table Schema,"Create the unified_objects table that will store all architecture artifacts (shapes, diagrams, ADRs, requirements, documents, uploads, external references) with a common schema enabling universal search and traceability.","Feature: Unified Objects Table
  As a system architect
  I want a unified object table
  So that all architecture artifacts can be treated uniformly

Scenario: Create unified objects table
  Given the database needs to support multiple object types
  When I run the migration for unified_objects table
  Then the table should be created with all required fields
  And object types should include: shape, diagram, adr, requirement, document, upload, external
  And indexes should be created for: objectType, vendor, framework, tags, full-text search

Scenario: Insert and query different object types
  Given the unified_objects table exists
  When I insert objects of different types (shape, diagram, requirement)
  Then all objects should be stored successfully
  And I should be able to query by objectType, vendor, framework
  And full-text search should work on name and description
  And query performance should be <100ms",8,backlog,high,,,,,,,database; schema; foundation; backend; size:L; P0,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-002,EPIC-UAW,Create Object References Table,"Create the object_references table to track all relationships between objects, enabling @-mentions, traceability, and backlinks. Supports relationship types: mention, embed, trace, implements, depends_on, derives_from.","Feature: Object References Table
  As an enterprise architect
  I want to track relationships between objects
  So that I can trace dependencies and understand impact

Scenario: Create object references table
  Given objects need to reference each other
  When I run the migration for object_references table
  Then the table should support multiple reference types
  And foreign keys should cascade on delete
  And indexes should enable fast forward and backlink queries

Scenario: Create and query references
  Given I have objects A and B
  When I create a reference from A to B with type='implements'
  Then the reference should be stored with context
  And I should be able to query all references from A
  And I should be able to query all backlinks to B
  And backlinks should update automatically",5,backlog,P0,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-003,EPIC-UAW,Migrate Canvas Models from localStorage to Database,"Create models table and API endpoints to persist canvas state, replacing localStorage with database storage. Enables sharing, versioning, and collaboration on architecture diagrams.","Feature: Canvas Model Persistence
  As a solutions architect
  I want canvas models saved to the database
  So that I can share them and never lose my work

Scenario: Save canvas model to database
  Given I am on the canvas editor with shapes and connections
  When I click ""Save Model""
  Then the canvas state should be serialized and saved to database
  And I should receive a model ID
  And the model should appear in my models list

Scenario: Load canvas model
  Given I have a saved model with ID 'abc-123'
  When I navigate to /studio?modelId=abc-123
  Then the canvas should load with all shapes and connections
  And I should be able to continue editing

Scenario: Auto-save and no data loss
  Given I am editing a model
  When I make changes
  Then the model should auto-save every 30 seconds
  And refreshing the browser should not lose my work",5,backlog,P0,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-004,EPIC-UAW,Content Editor Foundation (TipTap Integration),"Integrate TipTap rich text editor as the foundation for architecture document creation. Supports headings, formatting, lists, links, code blocks with ARKHITEKTON theme styling.","Feature: Rich Text Editor
  As an enterprise architect
  I want a rich text editor
  So that I can create architecture documents natively

Scenario: Initialize TipTap editor
  Given I navigate to /wiki/new
  When the page loads
  Then I should see a TipTap editor with floating toolbar
  And I should be able to format text (bold, italic, headings)
  And I should be able to create lists and code blocks

Scenario: Save and load document content
  Given I have created content with various formatting
  When I click ""Save""
  Then content should be saved as ProseMirror JSON
  When I reload the document
  Then all formatting should be preserved exactly",5,backlog,P0,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-005,EPIC-UAW,Document CRUD UI,"Create UI for creating, reading, updating, and deleting architecture documents. Includes document type selection (ADR, Design Spec, Technical Brief, etc.), search, filtering, and status management.","Feature: Document Management
  As an enterprise architect
  I want to manage architecture documents
  So that I can organize my documentation

Scenario: Create new document with type
  Given I am on the wiki page
  When I click ""New Document"" and select ""Architecture Decision Record""
  Then I should be redirected to the editor with ADR template
  And I should be able to enter content and save

Scenario: View, edit, and delete documents
  Given I have saved documents
  Then I should see a list with title, type, status, last modified
  And I should be able to edit existing documents
  And I should be able to delete with confirmation
  And I should be able to search and filter documents",5,backlog,P0,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-006,EPIC-UAW,Seed AWS Cloud Shapes as Objects,"Create seeding script to import all 120 AWS cloud icons from /client/public/icons/cloud/aws/ into unified_objects table with proper metadata (vendor, framework, category, SVG path).","Feature: AWS Shape Seeding
  As a solutions architect
  I want AWS shapes available as objects
  So that I can use them in my architecture diagrams

Scenario: Seed AWS shapes
  Given I have 120 AWS SVG icons
  When I run 'npm run seed:aws-shapes'
  Then 120 AWS shape objects should be created
  And each should have vendor='AWS', framework='cloud'
  And visual metadata should include SVG path

Scenario: Query and use AWS shapes
  Given AWS shapes are seeded
  When I search for ""lambda""
  Then I should find AWS Lambda shapes
  And I should be able to use them in canvas modeling",5,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-007,EPIC-UAW,"Seed Azure, GCP, IBM Shapes","Extend seeding script to import Azure (100), GCP (45), and IBM (50) cloud icons into unified_objects table. Total 315 cloud vendor shapes available.","Feature: Multi-Vendor Shape Seeding
  As a solutions architect
  I want all cloud vendor shapes available
  So that I can model multi-cloud architectures

Scenario: Seed all vendor shapes
  Given I have icons for Azure, GCP, and IBM
  When I run 'npm run seed:cloud-shapes'
  Then 315 total shapes should be seeded (120 AWS + 100 Azure + 45 GCP + 50 IBM)
  And I should be able to query by vendor
  And each vendor should have correct metadata",5,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-017,EPIC-UAW,TOGAF Shape Definitions,"Define and seed TOGAF framework shapes (30+ shapes): ABB, SBB, Actor, Role, Function, Process, Data Entity, Application Component.","Feature: TOGAF Shape Library
  As an enterprise architect
  I want TOGAF shapes available
  So that I can create TOGAF-compliant models

Scenario: Seed TOGAF shapes
  When I run 'npm run seed:togaf-shapes'
  Then 30+ TOGAF shapes should be created
  And metadata should include TOGAF ADM phase
  And I should be able to use them in canvas",3,backlog,P2,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-008,EPIC-UAW,Object Search API with Filters,"Create API endpoint for searching and filtering unified objects across all types. Supports full-text search, type filters, vendor filters, pagination, and relevance ranking.","Feature: Object Search API
  As a user
  I want to search across all objects
  So that I can quickly find what I need

Scenario: Full-text search
  Given I have shapes and documents
  When I send GET /api/objects/search?q=lambda
  Then I should get matching objects ranked by relevance
  And search should complete in <200ms

Scenario: Filter by type and vendor
  When I send GET /api/objects/search?objectType=shape&vendor=AWS
  Then I should only get AWS shapes
  And pagination should work with limit and offset",2,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-009,EPIC-UAW,Object Library Page UI,"Create unified object library page where users can browse, search, and filter all architecture objects (shapes, diagrams, documents, etc.) with grid view, cards, and detail modals.","Feature: Object Library UI
  As an architect
  I want to browse all objects in one place
  So that I can find and reuse architecture artifacts

Scenario: View object library
  Given I navigate to /library
  Then I should see a grid of all objects
  And I should see filters for type, vendor, framework
  And I should be able to search in real-time

Scenario: Filter and preview
  When I select vendor=""AWS"" and objectType=""shape""
  Then I should only see AWS shapes
  When I hover over a card
  Then I should see a preview
  When I click a card
  Then I should see a detail modal",8,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
UAW-010,EPIC-UAW,Object Detail Modal,"Create modal that displays full details of any object, including metadata, relationships, usage information, and action buttons (Edit, Use in Canvas, Copy, etc.).","Feature: Object Detail Modal
  As an architect
  I want to view complete object details
  So that I understand the object and its relationships

Scenario: View shape details
  Given I click on an AWS Lambda shape
  Then a modal should show full-size icon, name, vendor, metadata
  And I should see ""Use in Canvas"" button

Scenario: View document details with relationships
  Given I click on an ADR document
  Then I should see content preview, status, author, date
  And I should see linked objects (requirements, diagrams)
  And I should see backlinks (who references this)",5,backlog,P1,,,,,,,,Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time),Wed Dec 03 2025 15:44:46 GMT-0500 (Eastern Standard Time)
