Entity Type,ID,Title,Status,Priority,Points/Complexity,Parent ID (Epic/Story),Context (Sprint/Value Stream),Assignee,Description
Epic,EPIC-UAW,Unified Architecture Workspace,planned,critical,0,,design,,"Transform ARKHITEKTON into a single source of truth where architects can create, manage, and publish all architecture artifacts without fragmentation across multiple tools. Enables native document creation, @-mention linking, external system integration, and publishing to Confluence/Word/PDF."
Epic,EPIC-DEFECT,Defect Management System - Quality Command Center,in-progress,high,0,,Operations & Intelligence,,"Transform the basic defect tracking feature into a comprehensive Quality Command Center that provides:
- Dedicated defect management module (/plan/quality)
- Advanced filtering, search, and saved presets
- Quality analytics and metrics dashboards
- Architecture-aware defect tracking (UNIQUE DIFFERENTIATOR)
- AI-powered insights and duplicate detection

This epic spans 24 user stories across 5 phases, delivering 140 story points over 9-12 sprints.

**Strategic Value:**
- Competitive moat: Only ALM tool that links defects to enterprise architecture
- Executive visibility: Quality dashboards answer ""Are we ready to ship?""
- Proactive quality: Pattern detection prevents recurring issues
- Developer efficiency: Full context in one place (story, test, code, component)

**Documentation:**
- Vision: docs/ARKDL-0012-Defect-Management-Vision.md
- Analysis: docs/Defect-Management-Gap-Analysis.md

**Original Story:** US-AI-AGENT-006 (now references this epic)"
Epic,EPIC-IDE-01,Core IDE Framework,backlog,high,0,,Design Studio,,"VS Code-inspired six-zone layout with Activity Bar, Sidebars, Editor Area, Panel, and Status Bar. Includes multi-tab support, command palette, keyboard shortcuts, and theme customization."
Epic,EPIC-IDE-02,Modeling Canvas Engine,backlog,high,0,,Design Studio,,"Infinite canvas with pan/zoom, grid snapping, smart guides, drag-drop elements, connection system, undo/redo, multi-selection, and export to PNG/SVG/PDF."
Epic,EPIC-IDE-03,Element Library,backlog,high,0,,Design Studio,,"200+ architecture elements (AWS, Azure, GCP, ArchiMate, Generic) with search, filtering, favorites, and recents. Organized by category with drag-drop support."
Epic,EPIC-IDE-04,AI Modeling Agents,backlog,high,0,,Design Studio,,"Cursor-style AI agents with mode selection (Auto, Question, Strategize, Execute, Scenarios), inline AI (Cmd+K), specialized architects (@SecurityArch, @DataArch, @CloudArch), context awareness, and diff view for changes."
Epic,EPIC-IDE-05,Validation & Quality,backlog,medium,0,,Design Studio,,"Real-time validation engine checking connections, naming, properties, and patterns. Problems panel with errors/warnings/info, and quick fix actions with AI suggestions."
Epic,EPIC-WIKI-01,Wiki Page Management,backlog,high,0,,Knowledge Management,,"Provide full CRUD operations for wiki pages with proper persistence and user management. Architects can create, read, update, and delete wiki pages to document their architecture."
Epic,EPIC-WIKI-02,Block-Based Editor,backlog,high,0,,Knowledge Management,,"Implement TipTap block-based editor with markdown shortcuts and slash commands. Architects get a modern, rich editing experience similar to Notion/Confluence."
Epic,EPIC-WIKI-03,Tree View & Navigation,backlog,high,0,,Knowledge Management,,Provide hierarchical navigation for wiki pages with tree view sidebar. Architects can organize and navigate their documentation in a logical hierarchy.
Epic,EPIC-WIKI-05,Backlinks & References,backlog,high,0,,Knowledge Management,,Show where each entity is mentioned across the wiki. Architects can discover all documentation that references a specific component or decision.
Epic,EPIC-WIKI-06,Requirements Management,backlog,high,0,,Knowledge Management,,Treat requirements as first-class wiki pages with structured metadata. Architects can write requirements that are both narrative and traceable.
Epic,EPIC-WIKI-07,Traceability Matrix,backlog,high,0,,Knowledge Management,,Auto-generate traceability showing requirement → component → story mappings. Architects can prove requirements are met and find gaps.
Epic,EPIC-WIKI-08,Page Templates,backlog,medium,0,,Knowledge Management,,Provide pre-built templates for common documentation types. Architects can start with proven structures instead of blank pages.
Epic,EPIC-WIKI-09,Collaboration Features,backlog,medium,0,,Knowledge Management,,Enable real-time collaboration like Google Docs. Multiple architects can work on the same document simultaneously.
Epic,EPIC-WIKI-10,Version History,backlog,medium,0,,Knowledge Management,,Provide Git-like version control for wiki pages. Architects can see changes over time and restore previous versions.
Epic,EPIC-WIKI-04,Semantic Mentions System,backlog,critical,0,,Knowledge Management,,"Implement platform-wide @mention system that creates live links to entities across the entire ARKHITEKTON application. This enables architects to create semantic connections between documentation and actual architecture artifacts, forming a living knowledge graph.
      
Key Features:
- Type @ to trigger entity picker
- Search across all entity types (stories, epics, defects, models, objects, applications, capabilities, pages)
- Status-aware rendering (green=active, orange=deprecated, red=sunset)
- Hover preview cards with entity details
- Click to navigate to entity
- Backlinks panel showing where entities are mentioned"
Epic,EPIC-PORTFOLIO,Portfolio Management System,planned,high,0,,governance,,"Enterprise Portfolio Management module consolidating Application Portfolio Management (APM/CMDB) 
with Strategic Initiative tracking and Dependency visualization.

**Business Value:**
- Single source of truth for application inventory and strategic programs
- Enable data-driven investment decisions through initiative analytics
- Reduce risk through dependency and impact analysis
- Improve governance with approval workflows and audit trails

**Key Capabilities:**
- Applications: CMDB-style inventory with lifecycle, costs, and technology stack
- Initiatives: Strategic program tracking with budgets, milestones, and KPIs
- Dependencies: Cross-reference matrix showing initiative-application relationships

**Target Users:**
- Enterprise Architects
- Portfolio Managers
- Program Managers
- Technology Owners
- Executive Leadership"
Epic,EPIC-PORT-FOUNDATION,Foundation & CRUD,planned,high,0,,governance,,"Core CRUD operations, validation, and data management for applications and initiatives."
Epic,EPIC-PORT-DETAIL,Detail Views & Navigation,planned,high,0,,governance,,"Comprehensive detail pages, timeline views, navigation, and information architecture."
Epic,EPIC-PORT-ANALYTICS,Analytics & Dashboards,planned,high,0,,governance,,"Portfolio analytics, dashboards, charts, and executive reporting capabilities."
Epic,EPIC-PORT-INTEGRATION,Integrations & Dependencies,planned,medium,0,,governance,,"Dependency management, external integrations (Jira, ServiceNow), import/export."
Epic,EPIC-PORT-GOVERNANCE,Governance & Workflows,planned,medium,0,,governance,,"Approval workflows, audit trails, compliance, and governance controls."
Epic,EPIC-PORT-AI,AI & Intelligence,planned,medium,0,,governance,,"AI-powered features: predictions, recommendations, natural language search."
